      id  bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err  bayes.stellar.m_star  bayes.stellar.m_star_err  bayes.cfht.megacam.u  bayes.cfht.megacam.u_err  bayes.paranal.vircam.H  bayes.paranal.vircam.H_err  bayes.paranal.vircam.J  bayes.paranal.vircam.J_err  bayes.paranal.vircam.Ks  bayes.paranal.vircam.Ks_err  bayes.subaru.suprime.Y  bayes.subaru.suprime.Y_err  bayes.subaru.suprime.g  bayes.subaru.suprime.g_err  bayes.subaru.suprime.i  bayes.subaru.suprime.i_err  bayes.subaru.suprime.r  bayes.subaru.suprime.r_err  bayes.subaru.suprime.z  bayes.subaru.suprime.z_err     best.chi_square  best.reduced_chi_square  best.attenuation.Av_BC  best.attenuation.Av_ISM  best.attenuation.galex.FUV  best.attenuation.generic.bessell.B  best.attenuation.generic.bessell.V  best.attenuation.mu  best.attenuation.slope_BC  best.attenuation.slope_ISM  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift    best.dust.luminosity  best.sfh.integrated           best.sfh.sfr     best.sfh.sfr100Myrs     best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young   best.cfht.megacam.u  best.subaru.suprime.g  best.subaru.suprime.r  best.subaru.suprime.i  best.subaru.suprime.z  best.subaru.suprime.Y  best.paranal.vircam.J  best.paranal.vircam.H  best.paranal.vircam.Ks 
  380401   7900.0020208268115       1407.0036161610235    3173102309050.0815        437505640851.15424    4.2268118398088985        0.3312702056798265      29.500589831892334          0.5264628717485721      26.256809618856817           0.466793543494455        34.69302942492822           0.6987000343606516      20.511654926591177         0.38398100637001037       8.313789250799827         0.22847160095352634       16.62911131897177          0.3145583661361838      13.910351875795428         0.18837610241262034      18.596253168956444          0.3839627888467803   8.518607402794455       1.0648259253493069       1.272727272727273                      1.0          3.3817610103261186                  1.4017472890510367                  1.1561143022223028                 0.44                       -1.3                        -0.7        1000.0                50.0             1000.0               0.0             10000.0             3000.0        342.9053770441849               0.0                      0.02                                   10.0   10616.55643591051              4.256625406464877e+25                  0.2632  1.5831938872185304e+40   4125806385753.5903      7362.443004543092       7112.304346809894      7340.264081580111   2.135068039033086e+40   2.112197319012732e+39    8.046368538231014e+36      2.104150950474501e+39  1.0297264043508193e+40  1.1053416346822666e+40   802181862999.7327       799958292758.7693         2223570240.963378    3323624594372.239       3252445523447.0967          71179070925.14241    6.41434964106714e+56   2.909076490922393e+54    6.385258876157916e+56     4.120279313160017      8.217750704023416     13.931854489512359     16.717871166400453     18.697054097689904     20.613618581957642       26.3422050518379     29.605552868988667       34.84600433286327 
  502709    12142.21209304502       3138.1875552128427     73067630529799.69        29454790745182.742    0.7728461564309176       0.08297335623600671       37.69320999021639           4.659420019820291      26.726029474203905          1.6116931077990877        45.06786325723883           6.4581747004131556      19.126217190208262          0.3828563210869902      1.6829404596252728         0.13765375501483265      12.346117298759383          0.8119233009195811        5.35866329380857          0.5178255489128768      16.267461066389323          0.4643345775877226  10.909641904236246       1.3637052380295307       1.272727272727273                      1.0           3.615560006767649                   1.259078369499589                  1.0501344274498687                 0.44                       -1.3                        -0.7        1000.0                50.0             1000.0              0.01             10000.0              100.0        790.0140810542925               0.0                      0.02                                   10.0   7786.913859711682              1.163711131729581e+26                  0.6184  4.1179291355413887e+40    66797688490185.56      13629.93012429923      7168.0466015787615     13648.555885714864   6.523873846462424e+40  3.9450621556468885e+39    4.390605241342684e+37      3.901156103233462e+39   4.471356665220814e+40  2.0525171812416101e+40  15577962509687.082      15573818573278.543         4143936408.538288    51219726114949.32       51087384491802.805         132341623146.51364  1.1950667055887273e+57  1.1291064858399793e+55   1.1837756407303276e+57    0.8061353422178893     1.7762319251053555      5.777453966788374     12.980664475915301     16.583186304950154     19.126134034676337      25.65033158530711      34.30597135311896        40.3400053202163 
  719726   15751.185821978605        3076.296683398092    54434650280497.445         5734121075181.929    0.4859021171900475      0.009779645194379188      15.401568757359446          0.6673637948186358       10.10813544963623         0.24054143733144395        19.43427382337947           1.0623594123486595      6.7717688829086615         0.08203337017007958      0.7485099159723835        0.011268426575300892       4.048924333778281         0.18134432264487213      1.5377698699123479        0.052773628677180086       5.473673402869572         0.12074496120281308   3.834521206108001       0.4793151507635001       1.272727272727273                      1.0           3.615332981500549                  1.3640311173071982                  1.0985358626990123                 0.44                       -1.3                        -0.7        3000.0                50.0             3000.0              0.01             10000.0              500.0       2007.7485499810448               0.0                      0.02                                   10.0   6979.631286835627              1.490133706412763e+26                  0.7576  4.0263981191358934e+40     75171956867357.7     17254.098483277725       9970.113178787939     17277.858283972073    6.01611479517297e+40   4.991493435122698e+39    5.299248504343021e+37      4.938500950079268e+39   3.417811693017108e+40  2.5983031021558625e+40  19997308243623.676       19992062385272.82         5245858350.852962    55174648793925.52       55007116068553.234         167532725372.29153  1.5126442462006361e+57  1.4094712370057876e+55   1.4985495338305782e+57   0.48417191657147496      0.745508273101175      1.523013167183452      3.998297122455362      5.469022260017554      6.812972263241822     10.273422138922118     15.752605277388108      19.920068573527008 
  855094    14995.30335231873        749.7651676159365    203582256390733.03        10179112819536.652    0.6337624585488323      0.008274347440174275      40.211908660024726         0.13662549305071667      25.378509377700617         0.09821501432020983       52.707047644101685           0.1619215042726278      16.172553214883244        0.055165993440440785      1.0751401611610572        0.009216881947923587       8.654896896266091        0.014330844741818349      2.7797255478187792       0.0032783802862409337      13.128303123675096         0.04027409658461605  3.6627202586608694      0.45784003233260867       1.272727272727273                      1.0            3.31411268135619                  1.2328089801915068                  1.0316971295447361                 0.44                       -1.3                        -0.7        4500.0                50.0             4500.0               0.0             10000.0             1000.0       2712.2089818425143               0.0                      0.02                                   10.0   6748.963014641281             1.5977599151269512e+26                   0.802   6.374101399568912e+40   280606024952286.53     14952.511099590598       15541.98650419279     15004.960086164365  1.1028013445381595e+41   4.421263257657319e+39    1.384274600424222e+38      4.282835797614897e+39   8.772982101594983e+40  2.2550313437866124e+40   77019918387475.14       77015357634406.45         4560753068.688237    203586106713287.3       203440617864702.53         145488848584.78696   1.331364007640064e+57  3.1808149444687073e+55    1.299555858195377e+57    0.6325993421916984     1.0713193642699177     2.7650603755480074      8.612940237149521     13.115032987087368      16.11595347943027     25.319814582233874      40.13297388337997      52.658147044540115 
  893228   465.12806972238496        23.25640348611925    21801606639484.816        1090080331974.2408   0.16835332374505552      0.002877547174494992      19.065282328882624         0.05909305818119025      13.992936851302074         0.03517990739069141       24.559752061993812          0.08295271300193492       8.595957525707345         0.01297613206101874       0.677580847338246        0.004043583034055384       5.361296105148568        0.002630351362934438      2.8344012470874262        0.005188008492622753       7.299344093440172        0.008919931379695187   5.306756524359737       0.6633445655449671       1.272727272727273                      1.0          3.3050379785379858                  1.1972968922225726                  1.0141997912787093                 0.44                       -1.3                        -0.7        6000.0                50.0             6000.0               0.0             10000.0             1000.0        4068.072596133615               0.0                      0.02                                   10.0   9547.095775615138              6.488027599383647e+25                   0.379   3.412094648282829e+39    30611996849837.81     463.70625000345336      483.35057263419134       465.449503143854   6.611746778464391e+39  1.4361241859214446e+38   1.0782082855273688e+37     1.3283033573687076e+38   5.912296296685383e+39   6.994504817790069e+38   8809578049446.996        8809436557944.36        141491502.63632485    21802418804998.96       21797905801445.504         4513003553.4549265   4.268095857101071e+55   2.375920769049333e+54   4.0305037801961376e+55   0.16908746727869656     0.6799538874523067     2.8426218727811596      5.370343456646711      7.309277080071018      8.608151006892296     14.014543110401108      19.07527605291119       24.58439160198951 
 1038810   2514.1472909731856       125.70736454865929    117776561202290.42         5888828060114.521   0.20672264285152137     0.0013602179646586162      31.533643776500444         0.04820194045347622       19.35209863860895        0.025397680350101214       39.303631545863986          0.06334999396231321      12.206575465242436        0.012719395391421424      0.5951985283103036         0.00155230863033494       6.379724015776121        0.002756082257951784       2.217795179723281       0.0015551023569059786       9.609015813654612        0.008234894018741404  10.130263078924342       1.2662828848655427       1.272727272727273                      1.0          3.3050379785379858                  1.1972968922225726                  1.0141997912787093                 0.44                       -1.3                        -0.7        6000.0                50.0             6000.0               0.0             10000.0             1000.0        4068.072596133615               0.0                      0.02                                   10.0  7717.4406280726025             1.1890852436808009e+26                  0.6295   1.843192378382139e+40   165364109430771.34      2504.912418665362      2611.0298318200007     2514.3293640704205  3.5716246253577156e+40   7.757853831026689e+38    5.824414323303344e+37      7.175412398696354e+38  3.1937858107985723e+40   3.778388145591432e+39   47588794542012.79       47588030213686.21         764328326.5789785   117775314913651.48       117750935948204.19          24378965447.29765   2.305598925273713e+56  1.2834576717722284e+55   2.1772531580964896e+56   0.20685642737727467      0.596056769266008      2.221474467649377      6.386368502348574      9.619270434914261     12.213360611797839     19.366862251087774     31.543526100297562       39.30946004747854 
 1209790    12970.24624358935          2368.1868197764     8388949002755.771         996470171122.0355    1.0702976217260818       0.09355612847652094      11.707679114349586         0.35277370558295695       9.107763352842417         0.27384877237982597       13.204048897218993           0.4121577380289417       7.325781975571992          0.2173474395993003      1.6722710241759715         0.09637809604035451        5.94903770278253         0.13813871618659693        3.74572058334111         0.05144930333430382       6.780952834513426         0.18773573910862337  11.151848540054813       1.3939810675068516       1.272727272727273                      1.0          3.3639665834601935                  1.3612140840527032                  1.1246292200483519                 0.44                       -1.3                        -0.7        1000.0                50.0             1000.0              0.01             10000.0              500.0       442.13414361548564               0.0                      0.02                                   10.0   8064.521562239042             1.0667923344292678e+26                  0.5755  2.8678942515574535e+40   11332565561198.252     12500.602334864756      11877.363714611925     12547.650355236854   3.951152929063077e+40    3.59698802497198e+39   1.6133875789598772e+37     3.5808541491823814e+39  2.0655649673311792e+40  1.8855879617318976e+40  2333322732986.2866      2329508386024.6357        3814346961.6512938    8999242952436.016        8877580795180.734         121662157255.28282  1.0920242297069415e+57   5.476901544865773e+54   1.0865473281620757e+57     1.033654263151596     1.6348194757003516      3.748508568982869      5.998053881511155      6.872645021111986      7.438312464220001      9.291325028759287      11.96116556959758      13.525416568582404 
  839138    929.1944518882184        46.45972259441092    148967388731908.06         7448369436595.403   0.21079293217916556    4.2170519366783836e-06       33.38151992760263       6.129134228496295e-05      24.240222927336877       8.667102780216432e-05        42.22175027613722        0.0002916037497227111      16.327163719089356       0.0001468201931986559      0.5118387346119796      1.6093247409245082e-06       7.493169131558068       9.557002161130179e-05      2.0476229849529326       1.456849212910565e-05      14.444559359401167      0.00016085099288579144  38.401666163798964       4.8002082704748705       1.272727272727273                      1.0           2.749016599900255                  1.1685727309862206                  1.0038968615761312                 0.44                       -1.3                        -0.7        1000.0                50.0             1000.0               0.0             10000.0              100.0        799.1318673877013               0.0                      0.02                                   10.0   6119.596370654089             1.9319301342165902e+26                  0.9361   5.499791808473509e+40   194623723101793.22      892.0330379674276      1437.0308262988187      929.1944325028566  1.0739975895993015e+41    3.55708597896827e+38    9.694337982854142e+37     2.5876521806828565e+38  1.0601913105482677e+41  1.3806279051033758e+39   45656334580853.85      45656046768924.414        287811929.44084036    148967388530892.6       148958384398421.16          9004132471.414587   9.822127548432956e+55  1.9742510730024367e+55     7.84787647543052e+55   0.21318340890407733     0.5157676008813197      2.065748985333165      7.589772267469394     14.525647208543562     16.373280186014796     24.303943437257498      33.45410309349681        42.2568730774844 
  973322   2204.9544123491305        357.4351989804404      662436223271.813        117033198609.78159    1.2696209744367657       0.10095063433649357       7.956827650407433          0.1463791526262129      7.1012987254793805          0.1263285170119456        9.297137818775807          0.19699853365481856       5.545452278219253          0.1016728146507933       2.398866855764171         0.07760654696756433       4.515354826686285         0.08193204954536201      3.8287939284794454        0.050599887629855844       5.037696164617653         0.10057335618052075  18.183734175592015        2.272966771949002       1.272727272727273                      1.0          3.3733985999065146                  1.4298467171416807                  1.1807615249584287                 0.44                       -1.3                        -0.7         500.0                50.0              500.0               0.0             10000.0              500.0       191.47441587685202               0.0                      0.02                                   10.0   10754.45958799313              4.005656305496285e+25                  0.2495   4.414399173431141e+39    753554849110.7428      2101.138665462367      2085.4053706791647      2100.979379736872   5.869259392506178e+39   6.032023491795987e+38    2.100953210257711e+36     6.0110139596934104e+38  2.7083055249288004e+39   3.160953867577377e+39  132468679961.99902      131831272677.12378         637407284.8752406    621086189774.2573        600713803156.7699         20372386617.487415  1.8319779259050297e+56   7.947617893222969e+53   1.8240303080118065e+56    1.3008684991231507     2.4589463719301268     3.8801581765091937      4.538284032343913       5.03996069005541      5.530572023450937     7.0513703078078915      7.864628851923023        9.14536466975884 
  512611    54455.96563807552        7073.261125920288    11255282540382.473        1114454541330.6118    1.4246418902561728      0.053185037211815125      10.637965874836729         0.15443845283847055       8.069560817030384         0.15845916551507247       12.620385421266171          0.18736132116986556       6.700865202330214         0.14399534960449917      1.9647884823156145         0.06692808112035865       5.494049521001491         0.11282508342283594       2.769101207835935         0.04784486572611203       6.340648240684891         0.13722866728239516  7.2693954185759395       0.9086744273219924       1.272727272727273                      1.0           3.430901347950097                  1.4736211715976206                  1.2136104959231981                 0.44                       -1.3                        -0.7         500.0                50.0              500.0               0.0             10000.0             3000.0       166.70619562869106               0.0                      0.02                                   10.0   6570.463282244506             1.6861667673792438e+26                   0.838  1.0223192064545394e+41    13621154164884.17      51511.72092643865        47146.8563586075     51123.553728650724   1.346882677797419e+41   1.474666729194359e+40    4.752297189737617e+37     1.4699144320046215e+40   5.759561773643353e+40   7.709265004330837e+40   2301474731662.752      2286024623155.7847        15450108506.967546   11319679927076.186       10823894496037.803         495785431038.38324  4.4793683322336226e+57   1.849188763855023e+55   4.4608764445950726e+57     1.416387570543754     1.9543542027970244      2.778975498772752      5.565226847649843      6.401544330999922      6.763197245235974      8.115196440660974      10.63558357485029      12.569958307622187 
