# Mass sigma dsigma2/dM
1.584893192461110840e+11 2.755097050818622773e+00 -1.221340139200967887e-11
1.659586907437563171e+11 2.738939573950298190e+00 -1.156637428674190489e-11
1.737800828749376221e+11 2.722822528284645216e+00 -1.095324285378571114e-11
1.819700858609982605e+11 2.706746044010937435e+00 -1.037227107810067401e-11
1.905460717963244324e+11 2.690710217475531074e+00 -9.821788148473725389e-12
1.995262314968882751e+11 2.674715177923029152e+00 -9.300193028824006198e-12
2.089296130854040833e+11 2.658761038310151648e+00 -8.806008618739643851e-12
2.187761623949551697e+11 2.642847907301678401e+00 -8.337788902441394830e-12
2.290867652767770081e+11 2.626975914554356972e+00 -7.894193660300667311e-12
2.398832919019494934e+11 2.611145161955839455e+00 -7.473941483818812427e-12
2.511886431509582214e+11 2.595355777454368074e+00 -7.075807844032890201e-12
2.630267991895381470e+11 2.579607871436851774e+00 -6.698653453039038053e-12
2.754228703338163452e+11 2.563901561599803980e+00 -6.341370598862688466e-12
2.884031503126611328e+11 2.548236968556045312e+00 -6.002934954845359657e-12
3.019951720402019043e+11 2.532614202724333463e+00 -5.682353727947519218e-12
3.162277660168379517e+11 2.517033389725660264e+00 -5.378700599671119406e-12
3.311311214825907593e+11 2.501494638070648424e+00 -5.091088037732913893e-12
3.467368504525309448e+11 2.485998073975268507e+00 -4.818678575430462496e-12
3.630780547701017456e+11 2.470543807003391823e+00 -4.560677561621402233e-12
3.801893963205612793e+11 2.455131962310284077e+00 -4.316329725913462951e-12
3.981071705534969482e+11 2.439762651100500612e+00 -4.084921934172524050e-12
4.168693834703363647e+11 2.424435997506991125e+00 -3.865774614803980161e-12
4.365158322401665649e+11 2.409152113961211317e+00 -3.658246653341834082e-12
4.570881896148751831e+11 2.393911124031106397e+00 -3.461727614634347990e-12
4.786300923226380005e+11 2.378713140979974217e+00 -3.275640425384705434e-12
5.011872336272714844e+11 2.363558287933858360e+00 -3.099437431855325663e-12
5.248074602497733765e+11 2.348446679139488236e+00 -2.932598789153083651e-12
5.495408738576248169e+11 2.333378436738188011e+00 -2.774633517357494828e-12
5.754399373371566162e+11 2.318353676772284988e+00 -2.625073336490656031e-12
6.025595860743568115e+11 2.303372519371541749e+00 -2.483477840391234742e-12
6.309573444801943359e+11 2.288435083259048763e+00 -2.349425914752464183e-12
6.606934480075964355e+11 2.273541486100377540e+00 -2.222521556711633016e-12
6.918309709189362793e+11 2.258691848821965387e+00 -2.102387289068315398e-12
7.244359600749891357e+11 2.243886288180545918e+00 -1.988666038997122169e-12
7.585775750291851807e+11 2.229124924728711932e+00 -1.881019999633722563e-12
7.943282347242821045e+11 2.214407877094874078e+00 -1.779127538234861021e-12
8.317637711026708984e+11 2.199735263526658713e+00 -1.682685306225515463e-12
8.709635899560795898e+11 2.185107204428588190e+00 -1.591405049922974411e-12
9.120108393559114990e+11 2.170523817924502108e+00 -1.505013380732123543e-12
9.549925860214368896e+11 2.155985223041783527e+00 -1.423252005172104464e-12
1.000000000000000000e+12 2.141491539652549569e+00 -1.345875512886118005e-12
1.047128548050898560e+12 2.127042886131017330e+00 -1.272651368628803719e-12
1.096478196143182861e+12 2.112639381433595975e+00 -1.203359654428193506e-12
1.148153621496884033e+12 2.098281145138408466e+00 -1.137791668280976976e-12
1.202264434617413086e+12 2.083968295946923899e+00 -1.075749562879993652e-12
