      id    bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err  bayes.stellar.m_star  bayes.stellar.m_star_err    bayes.cfht.megacam.u  bayes.cfht.megacam.u_err  bayes.paranal.vircam.H  bayes.paranal.vircam.H_err  bayes.paranal.vircam.J  bayes.paranal.vircam.J_err  bayes.paranal.vircam.Ks  bayes.paranal.vircam.Ks_err  bayes.subaru.suprime.Y  bayes.subaru.suprime.Y_err  bayes.subaru.suprime.g  bayes.subaru.suprime.g_err  bayes.subaru.suprime.i  bayes.subaru.suprime.i_err  bayes.subaru.suprime.r  bayes.subaru.suprime.r_err  bayes.subaru.suprime.z  bayes.subaru.suprime.z_err     best.chi_square  best.reduced_chi_square  best.attenuation.Av_BC  best.attenuation.Av_ISM  best.attenuation.galex.FUV  best.attenuation.generic.bessell.B  best.attenuation.generic.bessell.V  best.attenuation.mu  best.attenuation.slope_BC  best.attenuation.slope_ISM  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.nebular.ne  best.nebular.zgas  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift    best.dust.luminosity  best.sfh.integrated            best.sfh.sfr     best.sfh.sfr100Myrs      best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young     best.cfht.megacam.u   best.subaru.suprime.g  best.subaru.suprime.r  best.subaru.suprime.i  best.subaru.suprime.z  best.subaru.suprime.Y  best.paranal.vircam.J  best.paranal.vircam.H  best.paranal.vircam.Ks 
 1283217    0.12187114593018616     0.017635010964297204    27919234.700435594        3872108.8616216723    0.009207801041691112    0.00033464877424455226    0.044888320744334936      0.00027877688272995386    0.038875751607810746       0.0001442211636275316      0.04071180712301946        0.0003688817615160759     0.03621243913151082      5.7349111914017715e-05    0.018667547245285035      0.00027755859592579755    0.026626655748126192       0.0003354981241080318     0.02365924774614323      0.00019241152751561924     0.03026552574630542       0.0002783493206506593  16.085383606642047        2.010672950830256       1.272727272727273                      1.0           3.413573404223799                  1.4926475204931395                   1.244785868233285                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02         500.0                50.0              500.0               0.0             10000.0              500.0       191.47441587685202               0.0                      0.02                                   10.0  13419.590326245558              3.610752281592203e+24                  0.0259  2.3938916822721117e+35    37075234.02979652       0.103376957686624     0.10260287257943458     0.10336912075802179  2.8877017487915953e+35  2.9677824102051605e+34   1.0336783320799743e+32     2.9574456268843608e+34  1.3324983745963491e+35  1.5552033741952462e+35   6517518.024076257       6486157.301911262        31360.722164994986   30557717.020504713        29555386.52992374         1002330.4905809712    9.01341294804255e+51  3.9102633831945067e+49    8.974310314210605e+51    0.009244629973951063    0.018989654373458356   0.023931131176859848   0.027061534393897985    0.03087758659787335    0.03621687406663283   0.038999854751901465    0.04497878135780328     0.04035647479030097 
 1008398  0.0006066947435420802   0.00030826255926356586      920316.607416649         64612.05245947206  0.00039675400074347465     1.456667713826727e-05   0.0024637100717950326      1.9825925096895268e-05    0.002118103343508507      1.1517387858360614e-05     0.002182461534453216       2.1026424998156634e-05   0.0019404709814565154       6.355515964272774e-06   0.0010015459028820829      2.3646974240778146e-05    0.001512658053688013      2.4442860630928222e-05   0.0012912701385813495       1.926183675601117e-05   0.0017186388549102608       1.654782740503673e-05  238.95948265539525       29.869935331924406       1.272727272727273                      1.0           3.035278255838248                  1.2583114747683584                  1.0631977641624184                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02         500.0                50.0              500.0               0.0             10000.0              100.0        315.0481813051479               0.0                      0.02                                   10.0  13571.061592366486             2.0882730116140163e+24                  0.0151  1.7495247864262022e+33    1186643.849374657   0.0004200431258459929   0.0006351137150603644   0.0004355214662689828  2.4686662101449768e+33   1.227615274468313e+32   1.1037329792785302e+30     1.2165779446755276e+32   1.820636536002771e+33   6.480296741422059e+32  238666.70571303688       238532.1181231959        134.58758984097713    947977.1482806165        943756.5211737944           4220.62710682209  3.7200191303153046e+49   3.013311617348023e+47   3.6898860141418243e+49  0.00040437132339953507    0.001017611948405282  0.0013058021118414747  0.0015302139350400318  0.0017420040816416402  0.0019500268324639581   0.002125986475450572  0.0024724538942775195   0.0021678720134059326 
  566114   0.011312695768549706     0.004294698001636912     37842805.94637078         7791354.689912335   0.0035714391749968235    0.00026856915484827865     0.04512077468128288       0.0016578110949622778    0.036083737105218165       0.0010463039164134134      0.04038852387519734        0.0014603371528021485     0.03038092904508898       0.0005589500728224948    0.009717874034347072        0.000503229530654115    0.020797323348346393       0.0004386550447622489    0.015617312231978079        0.000427446587087086    0.025733738135184283      0.00037978139950120196   1.829153460968185      0.22864418262102312       1.272727272727273                      1.0           3.381797832570958                  1.3231325119710453                  1.0907603531650047                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        6000.0                50.0             6000.0               0.0             10000.0             3000.0       2678.7104154402477               0.0                      0.02                                   10.0  13571.061592366486             2.0882730116140163e+24                  0.0151  2.3021266023349507e+34    48432924.48087164    0.007358404723410291   0.0074190955770911384   0.0073639226004496945   3.298637036095383e+34  2.1332880884657836e+33   2.7598877893895935e+31      2.105689210571888e+33   2.191012379259658e+34  1.1076246568357251e+34  13021006.328365846      13018771.237818733         2235.090547111943    35411918.22494364        35340514.08911332          71404.13583032119   6.460042718003331e+50   7.043954619899181e+48    6.389603171804339e+50    0.003495700913995838    0.009923936581054792   0.015921980058529916   0.021285513262147764   0.026294758393386516    0.03064186963479972    0.03637244418097951    0.04548758069308101    0.040284778907675164 
  614360  0.0004910810926080275   0.00024246918991474245     765116.0250793269         51319.93685490557   0.0007788224318794005     2.321007528447027e-05    0.004535246222019392      2.5469658135668464e-05   0.0038942454994465685        2.05633979710879e-05     0.003948100979731621       2.0199556658271328e-05   0.0035803280398443087       1.498291249073718e-05   0.0018619757324298174      2.9031716359409936e-05   0.0027898373184878037       4.212446477296258e-05    0.002388606641777853      2.7731757591647347e-05    0.003201339354832676       3.097573711840991e-05   37.06646339385847        4.633307924232309       1.272727272727273                      1.0           3.035278255838248                  1.2583114747683584                  1.0631977641624184                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02         500.0                50.0              500.0               0.0             10000.0              100.0        315.0481813051479               0.0                      0.02                                   10.0  13640.575372787083              1.405431302193105e+24                  0.0102   1.458365296532753e+33    989160.1552025437  0.00035013869053679474    0.000529416792824099   0.0003630410939185263  2.0578257350401534e+33  1.0233130320120997e+32    9.200474815258699e+29     1.0141125571968411e+32  1.5176424834367697e+33   5.401832516033838e+32  198947.30486253116      198835.11561440452        112.18924812663377     790212.854190306        786694.6324709281          3518.221719377973   3.100925945251611e+49  2.5118301406612893e+47   3.0758076438449975e+49   0.0007676556467884485     0.00187505357501068   0.002401508611469127  0.0028105035184618995  0.0032151552650716095   0.003585395040026149   0.003901494844704849   0.004541366911608278    0.003948948720820671 
  817648     0.1879842708162857      0.02203592917493771     41727347.69006254         3989826.511777224    0.011535130529370198    0.00025304087963188117     0.05571725732075309      0.00015095797833620134    0.048286552240818945       5.982477166613302e-05     0.050508027790133074       0.00028255507380879657     0.04500865223425631      5.3629540070216194e-05    0.023271794812435586      0.00027617977952454483    0.033087319789395775       0.0003465155288591212     0.02944100251810018       0.0002116673956187629    0.037596943844229055       0.0002695280536151895  28.038611273385786       3.5048264091732233       1.272727272727273                      1.0           3.449649073794079                  1.5239709597403552                  1.2703137689645647                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02         500.0                50.0              500.0               0.0             10000.0             1000.0       176.33758415582147               0.0                      0.02                                   10.0  13380.707103047644              4.009359073980726e+24                  0.0287  3.9511530333835746e+35    52389499.89910953      0.1762531743305678      0.1665861616913387      0.1754492712813694    4.72325594316021e+35   5.051354556103033e+34    1.674940582768027e+32      5.034605150275353e+34  2.0799613813808943e+35  2.6432945617793158e+35   8995817.032083383        8942711.87403087        53105.158052512896    43393684.57284259        41692297.00992341         1701387.5629191785  1.5342853613997943e+52   6.451841952965883e+49   1.5278335194468284e+52    0.011553284916918512    0.023461667701053335    0.02959664282718487     0.0333262258375777    0.03787562181923021    0.04498697941658088    0.04833419988787583    0.05572396285124452    0.050301444999386914 
  440099    0.05960653951174692      0.01019671892121488    13368071.919396508        2243405.7154531623    0.001853742772481367     8.521614250690781e-05    0.009433087588357938       9.034410660007501e-05     0.00812666369464597       5.307731020287529e-05     0.008736644782356105       0.00012479612755535033    0.007623172008495731       2.963113558251514e-05   0.0038839244480652186       7.456703214314194e-05    0.005572562774548735       8.337543576896432e-05   0.0049330496584605015       5.002860501509594e-05    0.006259763729391372        7.77558384058015e-05   6.979691205673304        0.872461400709163       1.272727272727273                      1.0           3.413573404223799                  1.4926475204931395                   1.244785868233285                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02         500.0                50.0              500.0               0.0             10000.0              500.0       191.47441587685202               0.0                      0.02                                   10.0  13241.755742584737              5.460382687459294e+24                  0.0388  1.1402644748450769e+35   17659768.223355573     0.04924077110111328     0.04887205694634544     0.04923703819567601   1.375477321083225e+35   1.413621542063732e+34    4.923642490662737e+31     1.4086978995730691e+34   6.346989592690834e+34  7.4077836181414145e+34   3104440.489956923       3089502.672320876        14937.817636046917   14555328.216763318       14077895.649982043          477432.5667812753   4.293291404064999e+51  1.8625464369015664e+49   4.2746659396959826e+51   0.0018347711787134997    0.003960696425078943   0.004993924140754058   0.005658438599249124   0.006337610257910082   0.007606436216350712   0.008133648960209244   0.009403129937841056    0.008627729446248978 
 1342041    0.18064693128457743      0.03266426732656293     48700553.55987179         9326871.635582551    0.002238566374583658    0.00014607654895464316    0.012268844851449114       0.0001490325117825268    0.010506246531055871      0.00013231834733850844     0.011946271607809667       0.00016544013924600236    0.009732694713010895      5.3016680826109135e-05     0.00504238348360291       8.611281854038023e-05    0.007422182219701332       9.912227664247605e-05     0.00631012560556439       7.431900931865596e-05    0.008128583261315183      0.00012952501374601782  16.357401244015005       2.0446751555018756       1.272727272727273                      1.0           3.413573404223799                  1.4926475204931395                   1.244785868233285                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02         500.0                50.0              500.0               0.0             10000.0              500.0       191.47441587685202               0.0                      0.02                                   10.0  12936.767809560775              8.795977704544693e+24                  0.0615    3.82263429692093e+35    59202787.75276699     0.16507526505508519     0.16383918394857938     0.16506275082468821   4.611164250227153e+35   4.739039327076519e+34    1.650606948282041e+32      4.722533257593699e+34   2.127771287666977e+35   2.483392962560176e+35  10407358.074776193      10357280.382033499         50077.69274269591   48795431.298427455       47194881.474674456             1600549.823753  1.4392874048000542e+52    6.24401973960922e+49    1.433043385060445e+52    0.002242709990095104    0.005117837493191442   0.006341403017182124   0.007511209470243233   0.008155989428039212   0.009700396650247354   0.010500777156139344   0.012205464648917497    0.011869338169512534 
 1078985   0.004950804263906872    0.0006675051681874527    1285870.3702438807         402752.2339083663   0.0016086040498360403      8.66404041360408e-05    0.008640335542904908      0.00024970992288191653    0.007239379307160838       0.0001505447607163009    0.0077493419198949014        0.0002298070097292101    0.006588244705715783        7.86929162362608e-05   0.0028112292157716143      0.00010211937921029403    0.004432010893112489       8.175896706333472e-05    0.003861505390002352       6.885649424871257e-05    0.005488764088147363       5.765687215499839e-05   2.898337692496177       0.3622922115620221       1.272727272727273                      1.0          3.7443113110594153                  1.8441744396665336                   1.517786606654203                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02       10000.0                50.0            10000.0               0.1             10000.0              100.0        8557.247086000933               0.0                      0.02                                   10.0  13643.423253650779             1.3776657447116506e+24                    0.01  1.0300820096229217e+34   2689872.1049959986    0.005366574381509713   0.0026898721049959983    0.005368990104899397  1.1783592392956227e+34  1.5408050999330113e+33    5.256899214093149e+30     1.5355482007189184e+33  3.7072301319151845e+33   8.076362261041041e+33    779025.867050623       777396.5281620729        1629.3388885501665   1910846.2907254337        1858785.728294327          52060.56243110693   4.679881770212635e+50   2.032270665597294e+48    4.659559063556662e+50   0.0016274990936877307    0.002746599713179178  0.0037928527948706196   0.004351798055859969   0.005464275403043826   0.006641831691344325   0.007335520295392671   0.008811833633958752     0.00792603846604949 
 1213326    0.02654236566268699      0.02639393641328117    210039410.22103772         42630556.80805118   0.0010136544591941242    0.00010925804945324207    0.017017946453866093       0.0006031895930405992    0.013980743554931646       0.0003600286929113613      0.01687030148581837        0.0004354217761355511    0.011911514042886519       0.0001528540219440511    0.004042206090926534      0.00022215637412026322    0.008832875883417971      0.00034262235173741605    0.006626077419110403      0.00033353893993883415    0.010384641820515376       0.0002724672615570585   9.679634920581744        1.209954365072718       1.272727272727273                      1.0           2.766288719791803                  1.1693511784369282                  1.0044401036627972                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        1000.0                50.0             1000.0               0.0             10000.0              100.0        799.1318673877013               0.0                      0.02                                   10.0  12903.784562405815              9.169543939343163e+24                   0.064   7.324701950856323e+34   258102147.31252477   0.0011829783075965967    0.001905732436471921   0.0012322602531572905  1.4242923712803095e+35   4.717264240530428e+32   1.2856240802871425e+32      3.431640160243286e+32   1.405983039752395e+35  1.8309331527914376e+33   60547593.09878234      60547211.414186925         381.6845954179433   197554554.22694197       197542613.30890524         11940.918036713494  1.3025710180778535e+50  2.6181723027129266e+49   1.0407537878065608e+50   0.0008953523192211493    0.004099351707039734   0.006815697298535959   0.009060011568833404   0.010582124883363546   0.011974971239567585   0.013972569297082214   0.016872725748014544     0.01695396961429532 
  212399    0.08828352048049107     0.022576415660961923    25111410.943244904         5884249.798853761    0.012492479167722035     0.0008756344228256262    0.061631038128212336       0.0009104043291423827    0.053191329498955886        0.000543304489144874      0.05503357158409814        0.0009254099258129195    0.049297889563218567      0.00025117051958613507    0.025201753690118008       0.0004926011898425051     0.03650929458767866       0.0007846583443786606     0.03218041172679538       0.0003563571028648717      0.0423571872348948       0.0005995623629590612   9.213911390795671       1.1517389238494589       1.272727272727273                      1.0           3.413573404223799                  1.4926475204931395                   1.244785868233285                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02         500.0                50.0              500.0               0.0             10000.0              500.0       191.47441587685202               0.0                      0.02                                   10.0  13504.850549101282              2.747895023775681e+24                  0.0198  1.8827303756927132e+35   29158658.184384655     0.08130315161067667     0.08069435483199634     0.08129698808053835  2.2710984956640626e+35  2.3340797470153274e+34     8.12959754576369e+31      2.325950149469564e+34  1.0479735503456868e+35  1.2231249453183756e+35  5125849.7821449535       5101185.431347069        24664.350797883908   24032809.200339936       23244503.666269716          788305.5340702195   7.088802919368166e+51   3.075315271370922e+49    7.058049766654456e+51    0.012848218755470322    0.025764826006350848    0.03244953364012048    0.03669096161688034    0.04234332353795509     0.0490534744537203    0.05282850263148917    0.06096094775411871    0.054120590125904894 
