      id  bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err  bayes.stellar.m_star  bayes.stellar.m_star_err  bayes.cfht.megacam.u  bayes.cfht.megacam.u_err  bayes.paranal.vircam.H  bayes.paranal.vircam.H_err  bayes.paranal.vircam.J  bayes.paranal.vircam.J_err  bayes.paranal.vircam.Ks  bayes.paranal.vircam.Ks_err  bayes.subaru.suprime.Y  bayes.subaru.suprime.Y_err  bayes.subaru.suprime.g  bayes.subaru.suprime.g_err  bayes.subaru.suprime.i  bayes.subaru.suprime.i_err  bayes.subaru.suprime.r  bayes.subaru.suprime.r_err  bayes.subaru.suprime.z  bayes.subaru.suprime.z_err     best.chi_square  best.reduced_chi_square  best.attenuation.Av_BC  best.attenuation.Av_ISM  best.attenuation.galex.FUV  best.attenuation.generic.bessell.B  best.attenuation.generic.bessell.V  best.attenuation.mu  best.attenuation.slope_BC  best.attenuation.slope_ISM  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.nebular.ne  best.nebular.zgas  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift    best.dust.luminosity  best.sfh.integrated           best.sfh.sfr     best.sfh.sfr100Myrs     best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young   best.cfht.megacam.u  best.subaru.suprime.g  best.subaru.suprime.r  best.subaru.suprime.i  best.subaru.suprime.z  best.subaru.suprime.Y  best.paranal.vircam.J  best.paranal.vircam.H  best.paranal.vircam.Ks 
  380401    8183.246405877961       1551.3342662801856     2924634562251.164         488789924373.4486     4.259030271112667       0.33810942492446355       29.32798678439929          0.5767701125947737      26.489984856264936           0.453010217649839       34.058492843962185           0.8116655299730597       20.23721445839026         0.44201820585945906       8.291289061945784         0.23875210586418674      17.339642565470072         0.20203477119331784        14.0102186856384           0.199949772315094      18.349698218666145          0.4416004451216009  7.5698366169931255       0.9462295771241407       1.272727272727273                      1.0          3.4302790873029783                  1.4687597513616653                  1.2206734122416407                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        1000.0                50.0             1000.0               0.0             10000.0             8000.0          331.01757208765               0.0                      0.02                                   10.0   10616.55643591051              4.256625406464877e+25                  0.2632  1.7433910970857712e+40   3884106210010.7456      7448.560271184226       7122.692551362743      7419.173098145354  2.1296624543062171e+40  2.1360513079988972e+39    7.966705366219778e+36     2.1280846026326773e+39   1.012117995910252e+40  1.1175444583959654e+40   748888936900.1285       746642552288.3796         2246384611.748842   3135217345353.1084        3063271998634.703          71945346718.40506   6.487018819317029e+56  2.9049387323084964e+54   6.4579694319939434e+56     4.117843358965575      8.186274125088325     14.061155843207171     17.399909840770324     18.547190198464936      20.40553758296011      26.58948860443045     29.468768254160175       34.26483043495883 
  502709   12101.748359383419       3482.2518360086515     74493988812169.14        29661863103004.438    0.7723230045043218       0.09403368480032129      38.076629687048914           4.660579338477937       26.72896693892158           1.653180142107473       45.403791576054736            6.498327857454974      19.076614308463327          0.4696655623383565      1.6823554775424987         0.14313750791125704      12.357586056338818           0.848599322819279       5.322193880733308          0.5228516750145683      16.131650473938034          0.5313907318248027  11.077303692813114       1.3846629616016393       1.272727272727273                      1.0          3.6609100888468706                  1.2858572637088832                  1.0702422375955738                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        1000.0                50.0             1000.0              0.01             10000.0              100.0        790.0140810542925               0.0                      0.02                                   10.0   7786.913859711682              1.163711131729581e+26                  0.6184   4.378092376942937e+40   66283974931609.695     13525.107935604437       7112.920102279677     13543.590453946932   6.473701414973891e+40   3.914722304604317e+39    4.356838901611281e+37      3.871153915588204e+39   4.436969299488989e+40   2.036732115484901e+40  15458158804841.986      15454046737744.602        4112067097.3830814    50825816260184.54        50694492422049.92         131323838134.62224  1.1858759389029351e+57  1.1204229920849944e+55   1.1746717089820853e+57    0.8022235505988332     1.7782734997511294      5.779180940257098     13.075071377045056     16.489583038209247     19.106798098852767     25.584240545691937      34.44385392987082      40.296569616248185 
  719726   15716.720117550016          3076.1983611536     54281962541821.69         6518546156981.806   0.48100893465860156      0.012439959071921618      15.470523294717797           0.693315911253363      10.084622257286123         0.23799289407608798        19.40153408703368           1.0914721671927288       6.686723613463588         0.10954527126421337      0.7439593138357536        0.013597343849183952       4.009458864518269          0.1980439129062638      1.5431213265701371        0.053451277143867985        5.66018335622899          0.1113644819611319  3.7648705916484975       0.4706088239560622       1.272727272727273                      1.0           3.660608067392637                  1.4159620658135013                   1.137466563935333                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        3000.0                50.0             3000.0              0.01             10000.0              500.0       2007.7485499810448               0.0                      0.02                                   10.0   6979.631286835627              1.490133706412763e+26                  0.7576    4.32575508914003e+40    73926140139021.78     16968.148171238463       9804.879569086206     16991.514203320145   5.916410373953222e+40   4.908769953122257e+39   5.2114246307944205e+37      4.856655706814313e+39  3.3611686686912134e+40   2.555241705262009e+40  19665895012283.223      19660736092976.664         5158919306.556095    54260245294109.49        54095489070514.06         164756223595.42825  1.4875753563583373e+57  1.3861122223100744e+55   1.4737142341352365e+57   0.47744753494399217     0.7399048527892774     1.5334754357535731      3.978175284178296      5.681781562304881      6.734214618482605       10.2382682507154     15.778338223413348      19.797058987299383 
  855094   14893.399865021463        744.6699932510733     202187771776948.6         10109388588847.43    0.6309484116647681      0.007816560147598432      40.153606497653094         0.13024471723472125      25.571832320041434         0.09008961974446529        52.45841404106611           0.1571819782704725      16.086088870538436          0.0535013277110824       1.073281428247025        0.008724197032204919       8.627202732073693        0.013957702886822854      2.7892779871443523       0.0032486027138135497      13.302122855690733         0.03559911553879178   3.422767735134697       0.4278459668918371       1.272727272727273                      1.0          3.3516560608313926                  1.2531842185074105                  1.0450350444473029                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        4500.0                50.0             4500.0               0.0             10000.0             1000.0       2712.2089818425143               0.0                      0.02                                   10.0   6748.963014641281             1.5977599151269512e+26                   0.802   6.655072147844327e+40   278682650350703.44     14850.021211557254      15435.456139759615      14902.11069391627  1.0952423475528414e+41   4.390958329393086e+39   1.3747862845246428e+38      4.253479700940622e+39    8.71284892748648e+40   2.239574548041936e+40   76491996170310.84       76487466678283.73         4529492027.098347    202190654327850.8       202046162712152.38         144491615698.46838  1.3222383599701958e+57  3.1590124950110836e+55   1.2906482350200851e+57    0.6297563648087552     1.0694160055153392      2.774524547009896      8.585761500309488     13.289983589104043      16.02937064608265      25.51211123326935      40.07552733468131       52.40734651284057 
  893228   463.12176514236495        23.15608825711825    21710675287752.703        1085533764387.6353    0.1687202668343579      0.003100698339817698      19.012981642286665        0.061873887908120734       13.97643197379124         0.03677611757159268       24.468989024786687          0.08717391726556269       8.574254218673014        0.014230432769345524      0.6797628729306634        0.004321502665866849        5.34411183023784        0.003251568416210432       2.840669606056112        0.005481662894336893       7.355037866358751        0.008309060633282909   5.286354330993732       0.6607942913742165       1.272727272727273                      1.0          3.3406506116011547                  1.2087258191711234                  1.0206621442100456                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        6000.0                50.0             6000.0               0.0             10000.0             1000.0        4068.072596133615               0.0                      0.02                                   10.0   9547.095775615138              6.488027599383647e+25                   0.379   3.501651620470205e+39    30483820461235.59      461.7646519826096      481.32672129469944      463.5006058967281   6.584062539877373e+39  1.4301109482800493e+38   1.0736936880354834e+37     1.3227415794765012e+38    5.88754074769677e+39   6.965217921806023e+38   8772691207173.148       8772550308113.727         140899059.4215033   21711129258651.297         21706635151627.2          4494107024.095264   4.250224787929894e+55   2.365972481609098e+54    4.013627539768984e+55   0.16946989293879355     0.6821502307282922     2.8489212692295163      5.353067693361391       7.36560147789323       8.58605991894094     13.997740963813355     19.022180806788633       24.49304171443704 
 1038810   2504.6016978052753       125.23008489026377    117334120740241.52         5866706037012.076   0.20690814127441984     0.0016486140650131878       31.49300125150052         0.05890963734749328      19.306041066285974         0.03125054329900066        39.20834791394717          0.07776884764036752      12.179818963699855        0.015687607268121944      0.5970371592116928       0.0018877283920452985       6.396077145904435       0.0032518880845824032       2.220079555897633       0.0018878192063632102         9.5794068291249        0.010252997297214047   10.42206622118128         1.30275827764766       1.272727272727273                      1.0          3.3406506116011547                  1.2087258191711234                  1.0206621442100456                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        6000.0                50.0             6000.0               0.0             10000.0             1000.0        4068.072596133615               0.0                      0.02                                   10.0  7717.4406280726025             1.1890852436808009e+26                  0.6295  1.8923778953114596e+40   164741996800181.88      2495.488743482541       2601.206934682208     2504.8702616071682   3.558187895956106e+40   7.728668182029685e+38    5.802502423987428e+37      7.148417939630942e+38   3.181770540380253e+40  3.7641735557585274e+39   47409761798686.42        47409000345822.4         761452864.0162805   117332235026294.73        117307947776410.0         24287249884.726814   2.296925082942244e+56   1.278629204269909e+55   2.1690621625152527e+56   0.20704811378396298     0.5979075505717095     2.2237480627454875      6.402698350056321      9.589638582153237      12.18678785254215     19.320585501239695     31.502802403473986      39.213822450968216 
 1209790   13157.726572007054       2397.2344115152546     7969835810219.122        1035618236255.9011    1.0710561607541196       0.09276732575295255      11.807383674662983          0.3268334345637904       8.981325559407786          0.2871777781953206       13.122736538764693           0.4078122089674421       7.364875543196075         0.20518409473422144      1.6794053718499584         0.09676706062136804        6.00564356981338         0.12307635120858043      3.7303111655858494        0.048474735401347314      6.6553323198539225         0.20501815762781656   12.24532422759763       1.5306655284497037       1.272727272727273                      1.0          3.3955043063459183                   1.429010258130416                   1.187910367162894                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        1000.0                50.0             1000.0               0.0             10000.0             1000.0       382.92427424404616               0.0                      0.02                                   10.0   8064.521562239042             1.0667923344292678e+26                  0.5755   3.277953842020885e+40    9581633209507.725      13348.94679615394       13325.20062053584      13348.69515747117  4.0768706929409357e+40  3.8347712956674804e+39   1.5811345689445978e+37     3.8189599499780345e+39  2.0685866614664872e+40  2.0082840314744482e+40  1912353714586.0894      1908303751053.8132         4049963532.276242    7669279626006.612        7539842637296.183          129436988710.4287    1.16439359615166e+57   5.538375227076574e+54   1.1588552209245834e+57     1.102465590454322     1.7219221704292638     3.7910660880251705      6.003867960432068      6.640094725840707      7.360027393235054      8.918118600093008     11.676487356628321      12.974868862796718 
  839138    928.5732159301513       46.428660796507565    148867792010971.16         7443389600548.559   0.21106701418318588     4.804613678134823e-06       33.36585563155031       6.728238600273747e-05      24.248775148649095       9.388115019115719e-05       42.204515701506544        0.0003302330200205334      16.337880878285826       0.0001632934661397766      0.5122538895679173      1.8416585484132937e-06       7.491652209257426       0.0001091929160476446       2.048891578277415      1.6407718090009266e-05       14.43582847925299      0.00018505943951262546   38.31295517074642       4.7891193963433025       1.272727272727273                      1.0           2.766288719791803                  1.1693511784369282                  1.0044401036627972                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02        1000.0                50.0             1000.0               0.0             10000.0              100.0        799.1318673877013               0.0                      0.02                                   10.0   6119.596370654089             1.9319301342165902e+26                  0.9361   5.519549822166911e+40   194493601358509.16      891.4366415358036       1436.070054645236      928.5731906651188  1.0732795351072063e+41   3.554707778504227e+38    9.687856531681541e+37     2.5859221253360725e+38  1.0594824866734362e+41   1.379704843377007e+39  45625809618362.445       45625521998858.62        287619503.82386047   148867791750093.28       148858793637614.66          8998112478.603493   9.815560659571766e+55  1.9729311260442481e+55    7.842629533527518e+55   0.21346005643155783      0.516177629351725      2.067041651603368      7.588153666489185     14.517131025108654     16.384742451144486      24.31224330771108     33.438397409884914      42.239604044244096 
  973322    2267.386997368225       364.94517399633366     603651628916.6499        108298278366.07027    1.2738641077465362       0.08767365442782396       7.925389212254618          0.1278939382734105       7.183066682445935          0.0974987000324709        9.147678829992097          0.18362673372479235      5.4769602533395005         0.09855406787523639      2.3916722992030586         0.06759467155744041       4.756154918289952         0.04109947962949346       3.861483590177187         0.05434195866524034       4.974640611397605         0.10082628889927156   16.41338510593127       2.0516731382414086       1.272727272727273                      1.0           3.413573404223799                  1.4926475204931395                   1.244785868233285                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02         500.0                50.0              500.0               0.0             10000.0              500.0       191.47441587685202               0.0                      0.02                                   10.0   10754.45958799313              4.005656305496285e+25                  0.2495    4.72274355872797e+39    731431685064.2302      2039.452597838558      2024.1812074036482     2039.2979884869721   5.696947332507918e+39    5.85493293840243e+38    2.039272587301826e+36      5.834540212529412e+38   2.628794010290175e+39   3.068153322217744e+39  128579611579.93942      127960917552.55882         618694027.3806096    602852093504.2723        583077807544.8717         19774285959.400593  1.7781939867104048e+56   7.714288554770352e+53   1.7704796981556344e+56     1.274756422219146     2.4351204350490887     3.9215055948263364      4.781228845303892      5.015546364769999      5.500378080174003      7.159701858421527     7.8702740809273894       9.049579346950752 
  512611    55239.56278119236        7530.417778760718    10181615950545.395        1200528720098.3716    1.3865507293057293       0.05021312877388314       10.76097723683714         0.12542521186209718       8.914388496813817         0.06909862396335449       12.404242356853608           0.1619336439109546       6.404751062602335         0.18791299576103107      1.9175312453248399         0.06321720906414087       5.282486711833488         0.14302373690560663      2.7347867322913064         0.04296415973810839       6.766219020345586         0.08509338841234444   6.745879259445925       0.8432349074307406       1.272727272727273                      1.0            3.49001763038383                  1.5590753878257604                  1.2989473623319003                 0.44                       -1.3                        -0.7                  0.0                 0.0                     300.0               -2.0            100.0               0.02         500.0                50.0              500.0              0.01             10000.0             8000.0       162.27488856120078               0.0                      0.02                                   10.0   6570.463282244506             1.6861667673792438e+26                   0.838  1.1153173397561736e+41   12590383898232.596     51340.637918353525      45507.066265039495      50928.55770574283  1.3216971458942861e+41  1.4694569859218647e+40     4.67268601227393e+37     1.4647842999095907e+40   5.535953077395591e+40   7.681018381547272e+40  2107528841409.5466      2092141601960.7266         15387239448.82017    10482855548280.28         9988957208440.77          493898339839.5102   4.463629078237808e+57   1.829170305980242e+55   4.4453373751780055e+57    1.3723292728109187      1.899722890333864      2.739894389146769      5.380824962012177      6.820903614284962      6.503933359480372      8.917613773924018     10.760631800783623      12.369827007245062 
